Tenure,Kotak,HDFC,KOTAK,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
7 - 14 days,2.75,3.0,2.75,3.0,3.0,3.0,3.0,3.5,3.0,4.0,3.0
15 - 30 days,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,4.0,3.0
31 - 45 days,3.25,3.5,3.25,3.5,3.5,3.0,3.0,3.5,3.5,4.0,3.0
46 - 90 days,3.5,4.5,3.5,4.38,4.38,4.5,4.5,4.5,5.0,5.25,4.05
91 - 120 days,4.0,4.5,4.0,4.75,4.75,4.5,4.5,4.5,5.0,5.5,4.3
121 - 179 days,4.25,4.5,4.25,4.75,4.75,4.5,4.5,4.5,5.0,5.5,4.4
180 days,7.0,5.75,7.0,4.75,4.75,4.5,4.5,4.5,5.0,5.5,5.25
181 days - 269 days,6.0,5.75,6.0,5.75,5.75,5.75,5.5,6.0,5.75,6.15,5.25
270 days,6.0,5.75,6.0,5.75,5.75,5.75,5.5,6.0,5.75,6.15,5.25
271 days - 363 days,6.0,6.0,6.0,6.0,6.0,5.75,5.5,6.25,6.75,6.25,5.25
364 days,6.5,6.0,6.5,6.0,6.0,5.75,5.5,6.25,6.75,6.25,5.25
365 days - 389 days,7.1,6.6,7.1,6.7,6.7,7.0,6.8,6.78,6.75,6.88,6.3
390 days ,7.2,6.6,7.15,6.7,6.7,7.0,6.8,6.78,6.75,6.88,6.3
391 days - less than 23 months,7.2,7.03,7.2,6.97,6.93,7.75,7.1,7.02,6.72,7.25,6.65
23 months,7.2,7.03,7.25,6.97,6.93,7.75,7.1,7.02,6.72,7.25,6.65
23 months 1 day - less than 2 years,7.2,7.03,7.25,6.97,6.93,7.75,7.1,7.02,6.72,7.25,6.65
2 years - less than 3 years,7.0,7.05,7.1,7.0,7.1,7.25,7.0,7.0,7.25,6.85,6.3
3 years - less than 4 years,6.5,7.0,6.5,7.0,7.1,7.0,6.5,6.5,6.5,6.8,6.6
4 years - less than 5 years,6.25,7.1,6.25,7.0,7.1,7.0,6.5,6.5,6.5,6.8,6.6
5 years - 10 years,6.2,7.0,6.2,6.9,7.0,7.0,6.5,6.5,6.5,6.7,6.7
