Product Name,Price
"APPLE iPhone 13 (Green, 128 GB)","₹61,999"
"APPLE iPhone 11 (White, 128 GB)","₹44,999"
"APPLE iPhone 11 (Black, 128 GB)","₹44,999"
"APPLE iPhone 13 (Midnight, 128 GB)","₹61,999"
"APPLE iPhone 13 (Starlight, 128 GB)","₹61,999"
"APPLE iPhone 13 (Pink, 128 GB)","₹61,999"
"APPLE iPhone 11 (White, 64 GB)","₹40,999"
"APPLE iPhone 14 (Purple, 128 GB)","₹69,999"
"APPLE iPhone 13 (Blue, 128 GB)","₹61,999"
"APPLE iPhone 14 (Blue, 128 GB)","₹69,999"
"APPLE iPhone 14 (Midnight, 128 GB)","₹69,999"
"APPLE iPhone 14 (Starlight, 128 GB)","₹69,999"
"APPLE iPhone 11 (Black, 64 GB)","₹40,999"
"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","₹67,999"
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹80,999"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹80,999"
"APPLE iPhone 14 Plus (Blue, 128 GB)","₹80,999"
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹80,999"
"APPLE iPhone 14 (Yellow, 128 GB)","₹69,999"
"APPLE iPhone 13 (Starlight, 256 GB)","₹71,999"
"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)","₹78,999"
"APPLE iPhone 12 (White, 64 GB)","₹53,999"
"APPLE iPhone 14 (Midnight, 256 GB)","₹80,999"
"APPLE iPhone 12 (Green, 64 GB)","₹53,999"
