Effective Date,Interest Rate
15.03.2023,10.10
15.12.2022,9.40
15.09.2022,8.70
15.06.2022,8.00
15.03.2022,7.55
15.12.2021,7.55
15.09.2021,7.45
15.06.2021,7.50
10.03.2021,7.40
10.12.2020,7.30
10.09.2020,7.40
10.06.2020,7.40
10.03.2020,8.15
16.12.2019,8.45
10.09.2019,8.95
10.12.2018,9.05
01.10.2018,9.00
01.07.2018,8.95
01.04.2018,8.70
01.01.2018,8.65
01.10.2017,8.95
01.07.2017,9.00
01.04.2017,9.10
01.01.2017,9.25
05.10.2015,9.30
08.06.2015,9.70
10.04.2015,9.85
07.11.2013,10.00
19.09.2013,9.80
04.02.2013,9.70
20.09.2012,9.75
13.08.2011,10.00
11.07.2011,9.50
12.05.2011,9.25
25.04.2011,8.50
14.02.2011,8.25
03.01.2011,8.00
21.10.2010,7.60
01.07.2010,7.50
